name,eirp
Ku-band SSA beam,0
Ku-band SSA beam,0
Ku-band Nordic BSS Beam,51
Ku-band SSA beam,0
Ku-band Europe BSS Beam,50
Ku-band Europe BSS Beam,50
Ku-band Europe BSS Beam,50
Ku-band Europe BSS Beam,50
Ku-band Europe BSS Beam,50
Ku-band Europe BSS Beam,50
Ku-band Europe BSS Beam,50
Ku-band SSA beam,0
Ku-band Europe BSS Beam,50
Ku-band Europe BSS Beam,50
Ku-band Europe BSS Beam,50
Ku-band Europe BSS Beam,50
Ku-band SSA beam,0
Ku-band Europe BSS Beam,50
Ku-band Europe BSS Beam,50
Ku-band SSA beam,0
Ku-band Europe BSS Beam,50
Ku-band Europe BSS Beam,50
Ku-band SSA beam,0
Ku-band Europe BSS Beam,50
Ku-band Europe BSS Beam,50
Ku-band Nordic BSS Beam,51
Ku-band Nordic FSS Beam,47
Ku-band Africa FSS Beam,0
Ku-band Nordic FSS Beam,47
Ku-band Nordic FSS Beam,47
Ku-band Nordic FSS Beam,47
Ku-band Nordic FSS Beam,47
Ku-band Nordic FSS Beam,47
Ku-band Nordic FSS Beam,47
Ku-band Africa FSS Beam,0
Ku-band Europe FSS Beam,47
Ku-band Europe FSS Beam,47
Ku-band Nordic FSS Beam,47
Ku-band Europe FSS Beam,47
Ku-band Europe B beam,0
Ku-band Africa beam,0
Ku-band East beam,0
Ku-band Africa beam,0
Ku-band West beam,50
Ku-band Africa beam,0
Ku-band Africa beam,0
Ku-band Africa beam,0
Ku-band Africa beam,0
Ku-band Europe A beam,48
Ku-band Europe A beam,48
Ku-band Europe B beam,0
Ku-band Europe B beam,0
Ku-band Europe B beam,0
Ku-band Europe B beam,0
Ku-band Africa beam,0
Ku-band Europe B beam,0
Ku-band Africa beam,0
Ku-band Africa beam,0
Ku-band Steerable beam,0
Ku-band Steerable beam,0
Ku-band East beam,0
Ku-band West beam,50
Ku-band West beam,50
Ku-band West beam,50
Ku-band West beam,50
Ku-band West beam,50
Ku-band Africa beam,0
Ku-band Europe A beam,48
Ka-band Europe C beam,48
Ka-band Europe C beam,48
Ku-band Europe A beam,48
Ka-band Europe C beam,48
